Player,Season,Team,Position,PTS,TRB,AST,STL,BLK,TOV,FT,FG%,3P%,2P%,FT%,TS%,BPM,OBPM,DBPM,PER,WS
LeBron James,2015-16,CLE,SF,25.3,7.4,6.8,1.4,0.6,3.3,4.7,0.52,0.309,0.573,0.731,0.588,9.0,7.0,2.0,27.5,13.6
Kevin Durant,2015-16,OKC,SF,28.2,8.2,5.0,1.0,1.2,3.5,6.2,0.505,0.387,0.569,0.898,0.634,9.9,8.4,1.6,28.2,14.5
Stephen Curry,2015-16,GSW,PG,30.1,5.4,6.7,2.1,0.2,3.3,4.6,0.504,0.454,0.566,0.908,0.669,11.9,10.3,1.6,31.5,17.9
Nikola Jokić,2015-16,DEN,C,10.0,7.0,2.4,1.0,0.6,1.3,1.9,0.512,0.333,0.541,0.811,0.582,3.9,2.6,1.3,21.5,6.7
Giannis Antetokounmpo,2015-16,MIL,PG,16.9,7.7,4.3,1.2,1.4,2.6,3.7,0.506,0.257,0.537,0.724,0.566,2.1,1.3,0.7,18.8,7.1
Kawhi Leonard,2015-16,SAS,SF,21.2,6.8,2.6,1.8,1.0,1.5,4.1,0.506,0.443,0.528,0.874,0.616,9.1,6.1,3.0,26.0,13.7
James Harden,2015-16,HOU,SG,29.0,6.1,7.5,1.7,0.6,4.6,8.8,0.439,0.359,0.494,0.86,0.598,6.6,6.4,0.2,25.3,13.3
Russell Westbrook,2015-16,OKC,PG,23.5,7.8,10.4,2.0,0.3,4.3,5.8,0.454,0.296,0.503,0.812,0.554,7.8,6.4,1.4,27.6,14.0
Anthony Davis,2015-16,NOP,C,24.3,10.3,1.9,1.3,2.0,2.0,5.3,0.493,0.324,0.511,0.758,0.559,3.9,3.6,0.4,25.0,7.2
Devin Booker,2015-16,PHO,SG,13.8,2.5,2.6,0.6,0.3,2.1,2.8,0.423,0.343,0.464,0.84,0.535,-2.8,-1.2,-1.7,11.9,1.9
Damian Lillard,2015-16,POR,PG,25.1,4.0,6.8,0.9,0.4,3.2,5.5,0.419,0.375,0.45,0.892,0.56,4.4,5.7,-1.3,22.2,9.2
Jimmy Butler,2015-16,CHI,SG,20.9,5.3,4.8,1.6,0.6,2.0,5.9,0.454,0.312,0.489,0.832,0.562,4.4,3.2,1.2,21.3,9.1
Kyrie Irving,2015-16,CLE,PG,19.6,3.0,4.7,1.1,0.3,2.3,3.2,0.448,0.321,0.502,0.885,0.54,2.3,3.2,-0.8,19.9,5.0
Paul George,2015-16,IND,SF,23.1,7.0,4.1,1.9,0.4,3.3,5.6,0.418,0.371,0.447,0.86,0.557,4.9,3.7,1.2,20.9,9.2
Chris Paul,2015-16,LAC,PG,19.5,4.2,10.0,2.1,0.2,2.6,4.0,0.462,0.371,0.501,0.896,0.575,7.9,5.9,2.0,26.2,12.7
Klay Thompson,2015-16,GSW,SG,22.1,3.8,2.1,0.8,0.6,1.7,2.4,0.47,0.425,0.51,0.873,0.597,1.8,3.4,-1.6,18.6,8.0
Bradley Beal,2015-16,WAS,SG,17.4,3.4,2.9,1.0,0.2,2.0,2.5,0.449,0.387,0.481,0.767,0.547,0.3,1.2,-0.9,15.5,2.7
DeMar DeRozan,2015-16,TOR,SG,23.5,4.5,4.0,1.0,0.3,2.2,7.1,0.446,0.338,0.458,0.85,0.55,2.5,3.2,-0.7,21.5,9.9
Mike Conley,2015-16,MEM,PG,15.3,2.9,6.1,1.2,0.3,1.5,3.4,0.422,0.363,0.449,0.834,0.538,3.0,3.5,-0.5,19.4,5.3
Julius Randle,2015-16,LAL,PF,11.3,10.2,1.8,0.7,0.4,1.8,2.4,0.429,0.278,0.436,0.715,0.482,-3.2,-1.9,-1.3,13.9,1.6
